zipcode,city,state,latitude,longitude,timezone,dst
764,"Vega Baja","PR",18.45,-66.4,-4,0
765,"Vieques","PR",18.13,-65.46,-4,0
766,"Villalba","PR",18.13,-66.48,-4,0
767,"Yabucoa","PR",18.07,-65.9,-4,0
768,"Yauco","PR",18.03,-66.86,-4,0
769,"Coamo","PR",18.09,-66.36,-4,0
771,"Las Piedras","PR",18.19,-65.87,-4,0
772,"Loiza","PR",18.43,-65.88,-4,0
773,"Luquillo","PR",18.36,-65.72,-4,0
775,"Culebra","PR",18.31,-65.29,-4,0
777,"Juncos","PR",18.22,-65.91,-4,0
778,"Gurabo","PR",18.26,-65.98,-4,0
780,"Coto Laurel","PR",18.07,-66.56,-4,0
782,"Comerio","PR",18.22,-66.23,-4,0
783,"Corozal","PR",18.3,-66.32,-4,0
784,"Guayama","PR",17.98,-66.13,-4,0
785,"Guayama","PR",18.02,-66.8,-4,0
786,"La Plata","PR",18.13,-66.27,-4,0
791,"Humacao","PR",18.15,-65.82,-4,0
792,"Humacao","PR",18.14,-65.79,-4,0
794,"Barranquitas","PR",18.2,-66.31,-4,0
795,"Juana Diaz","PR",18.04,-66.5,-4,0
801,"St Thomas","VI",18.32,-64.96,-4,0
802,"St Thomas","VI",18.32,-64.96,-4,0
803,"St Thomas","VI",18.32,-64.96,-4,0
804,"St Thomas","VI",18.32,-64.96,-4,0
805,"St Thomas","VI",18.32,-64.96,-4,0
820,"Christiansted","VI",17.73,-64.73,-4,0
821,"Christiansted","VI",17.73,-64.73,-4,0
822,"Christiansted","VI",17.73,-64.73,-4,0
823,"Christiansted","VI",17.73,-64.73,-4,0
824,"Christiansted","VI",17.73,-64.73,-4,0
830,"St John","VI",18.33,-64.74,-4,0
831,"St John","VI",18.33,-64.74,-4,0
840,"Frederiksted","VI",17.73,-64.73,-4,0
841,"Frederiksted","VI",17.73,-64.73,-4,0
850,"Kingshill","VI",17.73,-64.73,-4,0
851,"Kingshill","VI",17.73,-64.73,-4,0
901,"San Juan","PR",18.47,-66.11,-4,0
902,"San Juan","PR",18.41,-66.06,-4,0
906,"San Juan","PR",18.46,-66.1,-4,0
907,"San Juan","PR",18.45,-66.08,-4,0
908,"San Juan","PR",18.41,-66.06,-4,0
909,"San Juan","PR",18.44,-66.07,-4,0
910,"San Juan","PR",18.41,-66.06,-4,0
911,"San Juan","PR",18.45,-66.06,-4,0
912,"San Juan","PR",18.45,-66.06,-4,0
913,"San Juan","PR",18.45,-66.04,-4,0
914,"San Juan","PR",18.41,-66.06,-4,0
915,"San Juan","PR",18.44,-66.05,-4,0
916,"San Juan","PR",18.41,-66.06,-4,0
917,"San Juan","PR",18.42,-66.05,-4,0
918,"San Juan","PR",18.42,-66.06,-4,0
919,"San Juan","PR",18.41,-66.06,-4,0
920,"San Juan","PR",18.41,-66.09,-4,0
921,"San Juan","PR",18.39,-66.09,-4,0
922,"San Juan","PR",18.41,-66.06,-4,0
923,"San Juan","PR",18.41,-66.04,-4,0
924,"San Juan","PR",18.4,-66.01,-4,0
925,"San Juan","PR",18.4,-66.05,-4,0
926,"San Juan","PR",18.36,-66.06,-4,0
927,"San Juan","PR",18.39,-66.07,-4,0
928,"San Juan","PR",18.41,-66.06,-4,0
929,"San Juan","PR",18.41,-66.06,-4,0
930,"San Juan","PR",18.41,-66.06,-4,0
931,"San Juan","PR",18.41,-66.06,-4,0
933,"San Juan","PR",18.41,-66.06,-4,0
934,"Fort Buchanan","PR",18.41,-66.12,-4,0
935,"San Juan","PR",18.41,-66.06,-4,0
936,"San Juan","PR",18.41,-66.06,-4,0
937,"San Juan","PR",18.41,-66.06,-4,0
938,"San Juan","PR",18.41,-66.06,-4,0
939,"San Juan","PR",18.41,-66.06,-4,0
940,"San Juan","PR",18.41,-66.06,-4,0
949,"Toa Baja","PR",18.43,-66.2,-4,0
950,"Toa Baja","PR",18.46,-66.2,-4,0
951,"Toa Baja","PR",18.46,-66.2,-4,0
952,"Sabana Seca","PR",18.43,-66.18,-4,0
953,"Toa Alta","PR",18.37,-66.23,-4,0
954,"Toa Alta","PR",18.36,-66.26,-4,0
955,"San Juan","PR",18.41,-66.06,-4,0
956,"Bayamon","PR",18.34,-66.17,-4,0
957,"Bayamon","PR",18.37,-66.19,-4,0
958,"Bayamon","PR",18.34,-66.17,-4,0
959,"Bayamon","PR",18.39,-66.16,-4,0
960,"Bayamon","PR",18.34,-66.17,-4,0
961,"Bayamon","PR",18.41,-66.16,-4,0
962,"Catano","PR",18.44,-66.14,-4,0
963,"Catano","PR",18.44,-66.14,-4,0
965,"Guaynabo","PR",18.43,-66.12,-4,0
966,"Guaynabo","PR",18.4,-66.12,-4,0
968,"Guaynabo","PR",18.41,-66.1,-4,0
969,"Guaynabo","PR",18.37,-66.11,-4,0
970,"Guaynabo","PR",18.36,-66.11,-4,0
971,"Guaynabo","PR",18.33,-66.12,-4,0
975,"San Juan","PR",18.41,-66.06,-4,0
976,"Trujillo Alto","PR",18.35,-66.01,-4,0
977,"Trujillo Alto","PR",18.34,-65.99,-4,0
978,"St Just","PR",18.34,-65.99,-4,0
979,"Carolina","PR",18.43,-66.01,-4,0
981,"Carolina","PR",18.41,-66.06,-4,0
982,"Carolina","PR",18.41,-65.99,-4,0
983,"Carolina","PR",18.41,-65.98,-4,0
984,"Carolina","PR",18.39,-65.97,-4,0
985,"Carolina","PR",18.37,-65.95,-4,0
986,"Carolina","PR",18.39,-65.97,-4,0
987,"Carolina","PR",18.37,-65.96,-4,0
988,"Carolina","PR",18.39,-65.97,-4,0
1001,"Agawam","MA",42.07,-72.62,-5,1
1002,"Amherst","MA",42.38,-72.5,-5,1
1003,"Amherst","MA",42.37,-72.64,-5,1
1004,"Amherst","MA",42.38,-72.51,-5,1
1005,"Barre","MA",42.41,-72.1,-5,1
1007,"Belchertown","MA",42.28,-72.41,-5,1
1008,"Blandford","MA",42.17,-72.95,-5,1
1009,"Bondsville","MA",42.21,-72.34,-5,1
1010,"Brimfield","MA",42.13,-72.21,-5,1
1011,"Chester","MA",42.27,-73.02,-5,1
1012,"Chesterfield","MA",42.39,-72.84,-5,1
1013,"Chicopee","MA",42.16,-72.6,-5,1
1014,"Chicopee","MA",42.17,-72.6,-5,1
1020,"Chicopee","MA",42.18,-72.57,-5,1
1021,"Chicopee","MA",42.17,-72.6,-5,1
1022,"Chicopee","MA",42.2,-72.56,-5,1
1026,"Cummington","MA",42.47,-72.92,-5,1
1027,"Easthampton","MA",42.27,-72.69,-5,1
1028,"East Longmeadow","MA",42.07,-72.51,-5,1
1029,"East Otis","MA",42.18,-73.04,-5,1
1030,"Feeding Hills","MA",42.07,-72.67,-5,1
1031,"Gilbertville","MA",42.33,-72.19,-5,1
1032,"Goshen","MA",42.46,-72.82,-5,1
1033,"Granby","MA",42.25,-72.52,-5,1
1034,"Granville","MA",42.09,-72.94,-5,1
1035,"Hadley","MA",42.36,-72.57,-5,1
1036,"Hampden","MA",42.06,-72.42,-5,1
1037,"Hardwick","MA",42.37,-72.2,-5,1
1038,"Hatfield","MA",42.38,-72.61,-5,1
1039,"Haydenville","MA",42.38,-72.69,-5,1
1040,"Holyoke","MA",42.2,-72.62,-5,1
1041,"Holyoke","MA",42.17,-72.6,-5,1
1050,"Huntington","MA",42.29,-72.88,-5,1
1053,"Leeds","MA",42.35,-72.7,-5,1
1054,"Leverett","MA",42.48,-72.5,-5,1
1056,"Ludlow","MA",42.17,-72.47,-5,1
1057,"Monson","MA",42.09,-72.32,-5,1
