1,"Avery 5160",3,735,72,"24,224,422"
2,"Avery 5167",4,759,37,"20,169,317,466"
3,"Avery 5161",2,763,74,"12,314"
4,"Avery 5162",2,736,97,"14,315"
5,"Avery 5163",2,758,145,"14,312"
6,"Avery 5164",2,758,242,"11,314"
7,"Avery 5165",1,794,794,"0,614"
